language,neighbors,model,n,estimate,p.value,low,high
French,10,polyglot,767,0.34956369697805084,1.8291973850801633e-23,0.28630888849032254,0.41608304553461517
German,10,polyglot,275,0.39565621888907393,9.672650028654708e-12,0.28758035109992286,0.5020908198994614
Greek,10,polyglot,320,0.32467754106703245,2.7282719059984043e-9,0.2200144234874667,0.43153943571821335
Italian,10,polyglot,326,0.35360885753322263,4.910087599309483e-11,0.24852522687910594,0.4536531343503667
Korean,10,polyglot,166,0.27217755820786493,3.8893986261132036e-4,0.13476188093102537,0.4290433909706719
Polish,10,polyglot,287,0.3671092582545741,1.3849035614855474e-10,0.2723485354073162,0.46925369949510254
Portuguese,10,polyglot,276,0.36116068619237923,6.299179769969339e-10,0.2615748778935621,0.48408557378642125
Russian,10,polyglot,301,0.12684631798060808,0.027775666361864123,0.0051586306338676224,0.25523805980322833
Spanish,10,polyglot,759,0.3513833395899021,1.776957244970029e-23,0.2855027033974143,0.41716876977475337
Swedish,10,polyglot,40,0.5389378870332144,3.332827503276311e-4,0.31756347241214444,0.853898921280045
Thai,10,polyglot,102,-0.00472822598434182,0.9623821467228187,-0.21418921592433912,0.19857085718503645
Turkish,10,polyglot,226,0.34891673560771036,7.183388461048564e-8,0.22081599979885191,0.494183470590272
Catalan,25,polyglot,311,0.300197043197043,6.749417099511443e-8,0.19533811118081557,0.41204795604301636
Chinese (Simplified),25,polyglot,288,0.31888684132322354,3.1429722003389616e-8,0.21865518726706745,0.4258409070495769
French,25,polyglot,767,0.36309879591668004,2.5737285815278295e-25,0.2949227072124552,0.4355431707057199
German,25,polyglot,275,0.3710875653380164,2.096808039933866e-10,0.26719987458869715,0.4850195543494595
Greek,25,polyglot,320,0.31115018760982915,1.3004745912454812e-8,0.2055440577874445,0.4239254447948205
Italian,25,polyglot,326,0.3486215794567154,9.506740471940569e-11,0.2528874084345033,0.4556188122172895
Korean,25,polyglot,166,0.2685752853389677,4.675153894231207e-4,0.13411236327179316,0.4272505304557349
Polish,25,polyglot,287,0.3583673288090667,4.0119727891410557e-10,0.2592952024977433,0.45858838021718895
Portuguese,25,polyglot,276,0.35213314594452416,1.7729266701388855e-9,0.24133965062831964,0.4602468691084054
Russian,25,polyglot,301,0.12903034166910357,0.02517906107379084,0.01079134901438053,0.24212151053099207
Spanish,25,polyglot,759,0.34318279285293685,2.1107261912242334e-22,0.2727606079841819,0.40812106799437975
Swedish,25,polyglot,40,0.5252392568962282,5.014816218675962e-4,0.2930018722406156,0.8376099730875946
Thai,25,polyglot,102,-0.018047570712960224,0.8571213518867369,-0.21100267869022676,0.17808044509739718
Turkish,25,polyglot,226,0.35529335871092255,3.977565826709501e-8,0.2311711141972979,0.4901243610519944
Catalan,50,polyglot,311,0.32584138322219075,3.992446373054342e-9,0.22071067658700189,0.43583420001642126
Chinese (Simplified),50,polyglot,288,0.3050955637252,1.2807197622911447e-7,0.19248525554395435,0.41772493944753136
French,50,polyglot,767,0.364762671881739,1.5021762840910243e-25,0.30514632959934845,0.4366152305161199
German,50,polyglot,275,0.36174978624008186,6.319450861206839e-10,0.2616517527726999,0.4715465381473672
Greek,50,polyglot,320,0.31071089745437763,1.3663536409001677e-8,0.2017145997375004,0.41892069665690507
Italian,50,polyglot,326,0.3388042829402293,3.3751071243145674e-10,0.24592556987274655,0.4491706127524395
